Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
California,39538223,155858.3267713982,253.680530383159,,0400000US06,Urban
Alameda County,1682353,737.4618542634174,2281.274604610359,,0500000US06001,Urban
Alameda city,78280,10.44867852669588,7491.856486923042,,1600000US0600562,Urban
Albany city,20271,1.789982038526819,11324.694641452,,1600000US0600674,Suburban
Ashland CDP,23823,1.842571471373613,12929.21353126143,,1600000US0602980,Suburban
Berkeley city,124321,10.43182786947275,11917.47041415508,,1600000US0606000,Urban
Castro Valley CDP,66441,16.8484120389747,3943.457688849544,,1600000US0611964,Urban
Cherryland CDP,15808,1.193370393994103,13246.51598494248,,1600000US0612902,Suburban
Dublin city,72589,15.2289404429673,4766.5167692951,,1600000US0620018,Urban
Emeryville city,12905,1.27320281020607,10135.85573056605,,1600000US0622594,Suburban
Fairview CDP,11341,2.974154320406118,3813.184784053639,,1600000US0623350,Suburban
Fremont city,230504,78.31404971760487,2943.32882581327,,1600000US0626000,Urban
Hayward city,162954,45.81839066435829,3556.519503133934,,1600000US0633000,Urban
Livermore city,87955,26.44580245159437,3325.858618243491,,1600000US0641992,Urban
Newark city,47529,13.91937877704453,3414.59204187931,,1600000US0650916,Suburban
Oakland city,440646,55.93125759656029,7878.349583669995,,1600000US0653000,Urban
Piedmont city,11270,1.69977505687285,6630.289081152835,,1600000US0656938,Suburban
Pleasanton city,79871,24.14076126993639,3308.553492033703,,1600000US0657792,Urban
San Leandro city,91008,13.32282890885981,6830.981664823362,,1600000US0668084,Urban
San Lorenzo CDP,29581,3.045657740499184,9712.516152636268,,1600000US0668112,Suburban
Sunol CDP,922,28.25982591425134,32.62582022966527,,1600000US0677042,Rural
Union City city,70143,19.18268771901646,3656.578318296076,,1600000US0681204,Urban
Alpine County,1204,738.3403347814739,1.630684310855572,,0500000US06003,Rural
Alpine Village CDP,224,4.081001147495664,54.88849228514901,,1600000US0601228,Rural
Bear Valley CDP,128,5.155553616464633,24.82759554497169,,1600000US0604716,Rural
Kirkwood CDP,108,2.481913043612557,43.51482026251823,,1550000US0638646003,Rural
Markleeville CDP,191,6.530807478644689,29.24600068591173,,1600000US0645988,Rural
Mesa Vista CDP,217,4.875522975396025,44.5080458229968,,1600000US0647086,Rural
Amador County,40474,594.5841359110544,68.07110643472436,,0500000US06005,Suburban
Amador City city,200,0.3095562604923266,646.0861094584701,,1600000US0601514,Rural
Amador Pines CDP,1118,4.850059150853209,230.5126525731804,,1600000US0601518,Rural
Buckhorn CDP,2597,4.931498910419662,526.6147366499164,,1600000US0608680,Rural
Buena Vista CDP,542,1.687583880697517,321.1692208010301,,1600000US0608828,Rural
Camanche North Shore CDP,1070,2.331703467351972,458.8919710340177,,1600000US0610042,Rural
Camanche Village CDP,964,5.437337547509872,177.2926531738831,,1600000US0610044,Rural
Drytown CDP,186,3.25584944795111,57.12794862706225,,1600000US0619976,Rural
Fiddletown CDP,279,4.554869366190114,61.25312881000744,,1600000US0623980,Rural
Ione city,5141,4.579817358227142,1122.533847504804,,1600000US0636672,Suburban
Jackson city,5019,3.582033970813765,1401.159241060962,,1600000US0636980,Suburban
Kirkwood CDP,82,1.877258890774784,43.68070935924927,,1550000US0638646005,Rural
Lockwood CDP,495,5.437205886668201,91.03940706268253,,1600000US0642142,Rural
Martell CDP,207,2.186959553480557,94.65195626071753,,1600000US0646100,Rural
Pine Grove CDP,2891,7.484076760201206,386.2867916285611,,1600000US0657148,Rural
Pioneer CDP,1066,3.938114385085954,270.6879221276691,,1600000US0657330,Rural
Plymouth city,1078,2.64873852697387,406.9861894717079,,1600000US0657834,Rural
Red Corral CDP,1687,6.302799086327813,267.6588571035815,,1600000US0659896,Rural
River Pines CDP,390,0.2024793165064857,1926.122661459634,,1600000US0661124,Rural
Sutter Creek city,2646,2.698145319592214,980.673643034136,,1600000US0677392,Rural
Volcano CDP,104,1.400374827991481,74.26583077701014,,1600000US0683094,Rural
Butte County,211632,1636.489704971606,129.3207035504522,,0500000US06007,Urban
Bangor CDP,695,13.42285910204989,51.77734450731603,,1600000US0603792,Rural
Berry Creek CDP,1637,57.11997661765228,28.65897531712406,,1600000US0606070,Rural
Biggs city,1964,0.8946369635689432,2195.303883001978,,1600000US0606560,Rural
